ticker,grupo,nome,nome completo,setor,industria,rendimento,variacao_valor,recomendação,confiança do alerta,tipo,valor patrimonial por ação,pvp,valor_mercado,endereco1,endereco2,ultimo_valor_dividendo,ultima_data_dividendo,preco_alvo_maximo,preco_alvo_minimo,preco_alvo_medio,preco_alvo_mediana,numero_opinioes_analistas,sumario,expectativa,setor_pt,industria_pt
RAIZ4.SA,Ação,RAIZEN      PN      N2,Raízen S.A.,Utilities,Renewable,12.91,-0.95238006,buy,LOW,Equity,1.629,0.6384285,10756719616.0,"Avenida Afonso Arinos de Melo Franco, No. 222",Block 2 Room 321 Barra da Tijuca,0.01623,1711065600.0,4.5,1.25,2.69615,2.8,13.0,"Raízen S.A. operates as an integrated energy company in Brazil, Argentina, Paraguay, rest of Latin America, North America, Asia, Europe, and internationally. It operates in three segments: Marketing and Services, Sugar, and Renewable. The Marketing and Services segment trades in and sells fossil and renewable fuels through a franchised network of service stations under the Shell brand. Its Sugar segment engages in the origination, production, sale, and trading of sugar. The Renewable segment originates, produces, sells, and trades in ethanol; produces and sells bioenergy; resells and trades in electric power; and produces and sells solar energy and biogas. Raízen S.A. company was founded in 2011 and is headquartered in Rio de Janeiro, Brazil.",-99.9999999749352,Utilities,Renovável
RAIZ4.SA,Ação,RAIZEN      PN      N2,Raízen S.A.,Utilities,Renewable,12.91,-0.95238006,buy,LOW,Equity,1.629,0.6384285,10756719616.0,"Avenida Afonso Arinos de Melo Franco, No. 222",Block 2 Room 321 Barra da Tijuca,0.01623,1711065600.0,4.5,1.25,2.69615,2.8,13.0,"Raízen S.A. operates as an integrated energy company in Brazil, Argentina, Paraguay, rest of Latin America, North America, Asia, Europe, and internationally. It operates in three segments: Marketing and Services, Sugar, and Renewable. The Marketing and Services segment trades in and sells fossil and renewable fuels through a franchised network of service stations under the Shell brand. Its Sugar segment engages in the origination, production, sale, and trading of sugar. The Renewable segment originates, produces, sells, and trades in ethanol; produces and sells bioenergy; resells and trades in electric power; and produces and sells solar energy and biogas. Raízen S.A. company was founded in 2011 and is headquartered in Rio de Janeiro, Brazil.",-99.9999999749352,Utilities,Renovável
BBAS3.SA,Ação,BRASIL      ON      NM,Banco do Brasil S.A.,Financial Services,Banks - Regional,1.75,4.030223,hold,LOW,Equity,31.878,0.64778215,117878251520.0,EdifIcio Banco do Brasil,"Quadra 5, Lote B Setor de Autarquias Norte",0.090447,1748908800.0,39.0,20.0,27.32308,25.0,13.0,"Banco do Brasil S.A., together with its subsidiaries, provides banking products and services for individuals, companies, and public sectors in Brazil and internationally. The company's Banking segment offers various products and services, including deposits, loans, and other services to retail, wholesale, and public sectors. This segment also engages in the business with micro-entrepreneurs and low-income population undertaken through banking correspondents. Its Investments segment engages in the domestic capital markets; intermediation and distribution of debts in the primary and secondary markets; and provision of equity investments and financial services. The company's Fund Management segment is involved in the purchase, sale, and custody of securities and portfolio management; and management of investment funds and clubs. Its Insurance, Pension and Capitalization segment provides life, property, and automobile insurance products, as well as private pension and capitalization plans. The company's Payments Method segment provides funding, transmission, processing, and settlement services for electronic transactions. Its Other segment engages in the provision of credit recovery and consortium management services. This segment is also involved in developing, manufacturing, selling, leasing, and integrating of digital electronic equipment and systems, peripherals, programs, inputs, and computing supplies. The company was incorporated in 1808 and is headquartered in Brasília, Brazil.",-99.99999997682094,Serviços financeiros,Bancos - Regional
PETR4.SA,Ação,PETROBRAS   PN  ATZ N2,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,12.22,-0.033135284,buy,LOW,Equity,30.974,0.9740427,406938976256.0,"Avenida Henrique Valadares, 28",,0.671924,1755820800.0,48.0,34.0,40.5,40.0,11.0,"Petróleo Brasileiro S.A. - Petrobras explores, produces, and sells oil and gas in Brazil and internationally. It operates through three segments: Exploration and Production; Refining, Transportation & Marketing; and Gas & Low Carbon Energies. The Exploration and Production segment explores, develops, and produces crude oil, natural gas liquids, and natural gas primarily for supplies to the domestic refineries. The Refining, Transportation and Marketing segment engages in the refining, logistics, transport, acquisition, and export of crude oil; trading of oil products; and production of fertilizers, as well as holding interests in petrochemical companies. The Gas and Low Carbon Energies segment is involved in the logistic and trading of natural gas and electricity; transportation and trading of liquefied natural gas; generation of electricity through thermoelectric power plants; renewable energy business; low carbon business; and natural gas processing business, as well as production of biodiesel and its co-products. The company also engages in prospecting, drilling, refining, processing, trading, and transporting crude oil from producing onshore and offshore oil fields, and shale or other rocks, as well as oil products, natural gas, and other liquid hydrocarbons. In addition, it engages in the research, development, production, transportation, distribution, and trading of energy. The company was incorporated in 1953 and is headquartered in Rio de Janeiro, Brazil.",-99.99999999004766,Energia,Petróleo e gás integrado
VALE3.SA,Ação,VALE        ON      NM,Vale S.A.,Basic Materials,Other Industrial Metals & Mining,12.47,-0.18719296,buy,LOW,Equity,50.172,1.0627441,227611344896.0,Praia de Botafogo,"186 offices 1101, 1701, and 1801 Botafogo",1.895387,1755043200.0,83.999374,56.543236,66.4572,66.004906,12.0,"Vale S.A., together with its subsidiaries, produces iron ore and nickel in Asia, the Americas, Europe, and internationally. It operates through Iron Solutions and Energy Transition Materials segments. The company  extracts, produces, and distributes iron ore, iron ore pellets, briquettes, and other ferrous products; and operates mining complexes, railways, maritime terminals, and ports for the transportation of its products. It also produces nickel, copper, cobalt, and by-products, such as gold, silver, cobalt, platinum group metals, and other precious metals. In addition, the company engages in greenfield mineral exploration; invests in energy businesses through renewable sources; research; trading; and pelletizing plant. It exports its products. The company was formerly known as Companhia Vale do Rio Doce and changed its name to Vale S.A. in May 2009. Vale S.A. was founded in 1942 and is headquartered in Rio De Janeiro, Brazil.",-99.99999997080232,Materiais básicos,Outros metais industriais e mineração
COGN3.SA,Ação,COGNA ON    ON      NM,Cogna Educação S.A.,Consumer Defensive,Education & Training Services,9.43,-1.393727,buy,LOW,Equity,6.927,0.40854627,5134100992.0,"Rua Claudio Manoel, 36",,0.06672,1745884800.0,4.2,2.0,3.29091,3.3,11.0,"Cogna Educação S.A. operates as a private educational organization in Brazil and internationally. It operates through three segments: Kroton, Vasta, and Saber. The company provides on campus and distance-learning higher education, and undergraduate and graduate courses; and editing, marketing, and distribution of teaching books, educational materials, and workbooks. It offers basic education, pre-university preparatory courses, and language courses; educational solutions for technical and higher education; and complementary activities, such as education technology development for services to complement management and training. In addition, the company offers administration of kindergarten, elementary and high school activities; advises on and/or enables direct and indirect financing for students; and develops software for adaptive teaching and academic management optimization. The company was incorporated in 2001 and is headquartered in Belo Horizonte, Brazil.",-99.99999993590096,Defensivo do consumidor,Serviços de educação e treinamento
CPLE6.SA,Ação,COPEL       PNB     N2,Companhia Paranaense de Energia - COPEL,Utilities,Regulated Electric,5.04,-0.49504513,strong_buy,LOW,Equity,8.62,1.399072,34812882944.0,"Rua JosE Izidoro Biazetto, 158",Bloco A,0.209454,1733961600.0,16.0,12.0,13.71643,13.9,14.0,"Companhia Paranaense de Energia - COPEL engages in the generation, transformation, distribution, and sale of electricity to industrial, residential, commercial, rural, and other customers in Brazil. The company operates through Power Generation and Transmission, Power Distribution, GAS, Power Sale, and Holding and Services segments. It is also involved in the piped natural gas distribution. The company operates hydroelectric, wind, and thermoelectric plants; and owns and operates transmission and distribution lines. It holds concessions to distribute electricity in municipalities in the State of Paraná and in the municipality of Porto União in the State of Santa Catarina. Companhia Paranaense de Energia  COPEL was founded in 1954 and is headquartered in Curitiba, Brazil.",-99.99999996059957,Utilities,Elétrico regulado
CSAN3.SA,Ação,COSAN       ON      NM,Cosan S.A.,Energy,Oil & Gas Refining & Marketing,5.62,1.48148,buy,LOW,Equity,3.869,1.4163867,10185567232.0,"Avenida Brigadeiro Faria Lima, 4100",16th floor,0.451477,1717632000.0,23.0,8.0,13.33636,11.0,11.0,"Cosan S.A. engages in the fuel distribution business. It operates through Raízen, Compass, Moove, Rumo, and Radar segments. The company's Raízen segment engages in the production, commercialization, origination, and trading of sugar, as well as ethanol under the Shell brand; production and commercialization of bioenergy; trading and resale of electricity; and distribution and commercialization of fuels and lubricants. Its Compass segment distributes piped natural gas to industrial, residential, commercial, automotive, and cogeneration customers; and develops infrastructure projects in a regasification terminal, offshore gas pipeline, and thermal generation projects utilizing natural gas, as well as the sale of electricity and natural gas. The company's Moove segment produces and distributes lubricants under the Mobil brand and Comma trademark for industrial, commercial, and passenger/cargo vehicles. Its Rumo segment provides logistics services for storage and port loading of commodities, including grains and sugar; and leases locomotives, wagons, and other railroad equipment, as well as operates containers. The company's Radar segment manages agricultural property. It operates in Brazil, England, France, Spain, Portugal, Argentina, Bolivia, Uruguay, Paraguay, the United States, Asia, and internationally. Cosan S.A. was founded in 1936 and is headquartered in São Paulo, Brazil.",-99.99999986906607,Energia,Reino e marketing de petróleo e gás
BBDC4.SA,Ação,BRADESCO    PN  EJ  N1,Banco Bradesco S.A.,Financial Services,Banks - Regional,1.42,0.12492478,buy,LOW,Equity,16.456,0.97411287,157685661696.0,"Cidade De Deus, S/N",Vila Yara,0.018975,1764633600.0,24.0,15.0,18.63846,18.0,13.0,"Banco Bradesco S.A., together with its subsidiaries, provides various banking products and services to individuals, corporates, and businesses in Brazil and internationally. The company operates through two segments, Banking and Insurance. It provides current, savings, click, and salary accounts; real estate credit, vehicle financing, payroll loans, mortgage loans, microcredit, leasing, and personal and installment credit; overdraft and agribusiness loans; debit and business cards; financial and security services; consortium products; car, personal accident, dental, travel, and life insurance; investment products; pension products; foreign currency exchange services; capitalization bonds; and internet banking services. The company was founded in 1943 and is headquartered in Osasco, Brazil.",-99.99999998818,Serviços financeiros,Bancos - Regional
ITSA4.SA,Ação,ITAUSA      PN      N1,Itaúsa S.A.,Industrials,Conglomerates,9.47,0.09073752,strong_buy,LOW,Equity,8.262,1.3350278,121010126848.0,"Av. Paulista, 1938",5th Floor Bela Vista,0.02353,1764547200.0,13.3,12.0,12.71,13.0,7.0,"Itaúsa S.A., through its subsidiaries, operates in the financial and industrial markets in Brazil and internationally. The company offers credit products and other financial services to individuals and corporate clients. It also engages in the operation of highway concessions, urban mobility, and airports, as well as the transportation of gas through gas pipelines to distribution companies. In addition, it manufactures and sells bathroom fixtures, fittings, and showers; ceramic tiles, including floor and wall coatings under the Ceusa, Portinari, and Castelatto brands; pine and eucalyptus wood panels primarily used in the manufacture of medium- and high-density wood panels under the Duratex and Durafloor brand; and footwear, apparel, textiles, and related components, as well as leather, resin, and natural and artificial rubber. Further, it provides sanitation services. The company was formerly known as Itaúsa - Investimentos Itaú SA. Itaúsa S.A. was incorporated in 1966 and is headquartered in São Paulo, Brazil.",-99.99999998949674,Industriais,Conglomerados
