NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,30,Número-índice,0.0000000076183,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),197912,dezembro 1979
1,Brasil,30,Número-índice,0.0000000081223,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198001,janeiro 1980
1,Brasil,30,Número-índice,0.0000000084973,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198002,fevereiro 1980
1,Brasil,30,Número-índice,0.0000000090104,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198003,março 1980
1,Brasil,30,Número-índice,0.0000000094867,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198004,abril 1980
1,Brasil,30,Número-índice,0.0000000100277,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198005,maio 1980
1,Brasil,30,Número-índice,0.0000000105597,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198006,junho 1980
1,Brasil,30,Número-índice,0.0000000111453,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198007,julho 1980
1,Brasil,30,Número-índice,0.0000000116965,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198008,agosto 1980
1,Brasil,30,Número-índice,0.0000000121913,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198009,setembro 1980
1,Brasil,30,Número-índice,0.0000000133471,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198010,outubro 1980
1,Brasil,30,Número-índice,0.0000000142378,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198011,novembro 1980
1,Brasil,30,Número-índice,0.0000000151795,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198012,dezembro 1980
1,Brasil,30,Número-índice,0.0000000162174,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198101,janeiro 1981
1,Brasil,30,Número-índice,0.0000000172555,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198102,fevereiro 1981
1,Brasil,30,Número-índice,0.0000000181134,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198103,março 1981
1,Brasil,30,Número-índice,0.0000000192839,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198104,abril 1981
1,Brasil,30,Número-índice,0.0000000203560,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198105,maio 1981
1,Brasil,30,Número-índice,0.0000000214792,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198106,junho 1981
1,Brasil,30,Número-índice,0.0000000228229,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198107,julho 1981
1,Brasil,30,Número-índice,0.0000000240772,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198108,agosto 1981
1,Brasil,30,Número-índice,0.0000000253429,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198109,setembro 1981
1,Brasil,30,Número-índice,0.0000000266297,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198110,outubro 1981
1,Brasil,30,Número-índice,0.0000000280335,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198111,novembro 1981
1,Brasil,30,Número-índice,0.0000000296946,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198112,dezembro 1981
1,Brasil,30,Número-índice,0.0000000317628,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198201,janeiro 1982
1,Brasil,30,Número-índice,0.0000000338708,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198202,fevereiro 1982
1,Brasil,30,Número-índice,0.0000000358057,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198203,março 1982
1,Brasil,30,Número-índice,0.0000000379137,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198204,abril 1982
1,Brasil,30,Número-índice,0.0000000404382,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198205,maio 1982
1,Brasil,30,Número-índice,0.0000000433113,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198206,junho 1982
1,Brasil,30,Número-índice,0.0000000460650,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198207,julho 1982
1,Brasil,30,Número-índice,0.0000000488164,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198208,agosto 1982
1,Brasil,30,Número-índice,0.0000000512964,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198209,setembro 1982
1,Brasil,30,Número-índice,0.0000000535752,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198210,outubro 1982
1,Brasil,30,Número-índice,0.0000000564085,1,Brasil,2266,IPCA - Número-índice (base: dezembro de 1993 = 100),198211,novembro 1982
